price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
280000,336500,4,8460,1915,1,12.5425453186035,12.7263536453247,9.04310417175293,7.55747270584106
357000,391500,4,9687,2381,1,12.7854909896851,12.8777408599854,9.17854022979736,7.77527570724487
230000,217800,4,4806,1573,1,12.3458347320557,12.291332244873,8.4776201248169,7.36073970794678
272000,326900,4,6666,2253,0,12.513557434082,12.6974096298218,8.80477523803711,7.72001791000366
333000,345500,3,6993,1987,1,12.7158975601196,12.7527475357056,8.85266494750977,7.59438133239746
250000,268400,3,8410,1722,1,12.4292163848877,12.5002336502075,9.03717708587646,7.4512414932251
227000,248900,3,6800,1599,0,12.3327054977417,12.4248065948486,8.82467746734619,7.37713384628296
264000,313900,3,6637,1972,1,12.4837045669556,12.6568298339844,8.8004150390625,7.5868034362793
212000,279300,3,6460,1899,0,12.2643413543701,12.540041923523,8.7733850479126,7.54908275604248
203000,258100,3,6341,1574,0,12.2209615707397,12.4611024856567,8.75479221343994,7.36137533187866
240000,256300,3,2892,1890,0,12.3883943557739,12.4541034698486,7.96970367431641,7.5443320274353
515000,502900,7,9446,3757,1,13.1519222259521,13.1281461715698,9.15334701538086,8.2313756942749
337000,438700,5,8031,2794,1,12.7278385162354,12.9915714263916,8.99106407165527,7.93522930145264
262000,274000,4,6496,2091,1,12.4760999679565,12.5208835601807,8.7789421081543,7.64539766311646
360000,452400,4,10892,2750,1,12.7938594818115,13.0223217010498,9.29578399658203,7.91935634613037
405000,434000,3,12237,3375,1,12.911642074585,12.9807996749878,9.41221904754639,8.12415027618408
214000,265400,3,5332,1652,1,12.2737312316895,12.4889936447144,8.58148193359375,7.40974187850952
225000,294200,3,6003,1768,0,12.3238554000854,12.5920152664185,8.7000150680542,7.47760438919067
361000,354900,4,9000,2066,1,12.7966327667236,12.7795915603638,9.10497951507568,7.63336944580078
392000,385800,3,10808,2293,1,12.8790168762207,12.8630743026733,9.28804206848145,7.73761606216431
310000,326000,4,8602,1835,1,12.6443271636963,12.694652557373,9.05974960327148,7.51479959487915
335000,352700,4,9325,2020,1,12.7218856811523,12.7733726501465,9.14045429229736,7.61085271835327
733000,689700,5,28934,3511,1,13.504900932312,13.4440116882324,10.2727727890015,8.16365623474121
3e+05,416500,5,7047,2634,1,12.6115379333496,12.9396419525147,8.8603572845459,7.87625885009766
215000,300400,3,11554,1694,0,12.2783937454224,12.6128702163696,9.35478687286377,7.43484783172607
253000,256800,3,5850,1536,1,12.4411449432373,12.4560527801514,8.67419719696045,7.33693695068359
242000,325300,4,7654,2001,1,12.3966932296753,12.6925029754639,8.94298362731934,7.60140228271484
235000,251900,4,6383,1840,1,12.3673410415649,12.4367876052856,8.76139354705811,7.51752090454102
369000,382800,3,9048,2306,1,12.8185520172119,12.8552675247192,9.1102991104126,7.74326992034912
236000,259400,3,5828,1715,0,12.3715867996216,12.4661264419556,8.67042922973633,7.44716835021973
240000,250700,3,6000,1536,1,12.3883943557739,12.4320125579834,8.69951438903809,7.33693695068359
281000,308100,4,5797,2000,1,12.5461101531982,12.6381797790527,8.66509628295898,7.60090255737305
250000,274900,4,20753,1496,0,12.4292163848877,12.5241622924805,9.94044589996338,7.31055021286011
252000,298800,3,7299,2157,0,12.4371843338013,12.6075296401978,8.89549255371094,7.67647361755371
425000,252500,3,5525,1502,0,12.9598445892334,12.4391660690308,8.61703872680664,7.31455278396606
263000,286000,3,4788,2081,0,12.4799089431763,12.5637474060059,8.47386837005615,7.64060401916504
294000,356200,3,9550,2359,1,12.5913352966309,12.7832479476929,9.16429615020752,7.76599311828613
343000,359900,3,8577,2106,1,12.7454853057861,12.7935819625855,9.05683994293213,7.65254592895508
230000,212100,3,5305,1171,0,12.3458347320557,12.2648134231567,8.57640552520752,7.06561326980591
190000,212500,4,3500,1702,0,12.1547794342041,12.2666969299316,8.16051864624023,7.43955945968628
314000,349700,5,7415,2486,1,12.6571483612061,12.7648305892944,8.9112606048584,7.81843042373657
244000,306800,4,7893,2090,1,12.4049234390259,12.6339511871338,8.97373199462891,7.64491939544678
366000,425000,5,16603,3029,0,12.8103885650635,12.9598445892334,9.71733856201172,8.01598739624023
358000,402800,4,10101,2223,1,12.7882881164551,12.906195640564,9.2203893661499,7.70661306381226
268000,254000,3,5167,1980,1,12.4987421035767,12.44508934021,8.55004787445068,7.5908522605896
435000,469500,4,12990,3533,1,12.9831008911133,13.0594234466553,9.4719352722168,8.16990280151367
575000,518100,5,15634,3880,1,13.2621250152588,13.1579236984253,9.65720367431641,8.26359081268311
230000,276300,3,4054,1736,1,12.3458347320557,12.529242515564,8.30745887756348,7.45933866500855
310000,253600,6,5348,1386,1,12.6443271636963,12.4435138702393,8.5844783782959,7.23417711257935
352000,335900,4,92828,1899,1,12.7713861465454,12.7245683670044,11.4385032653809,7.54908275604248
240000,303800,4,5922,2000,0,12.3883943557739,12.6241245269775,8.68642997741699,7.60090255737305
302000,283600,3,8380,1914,1,12.618182182312,12.5553197860718,9.03360366821289,7.55695056915283
306000,388600,2,20700,2205,0,12.6313400268555,12.8703060150146,9.93788909912109,7.69848299026489
286000,347100,3,8279,2179,1,12.5637474060059,12.7573680877686,9.02147769927979,7.68662118911743
240000,228500,4,6577,1566,1,12.3883943557739,12.3392915725708,8.79133415222168,7.3562798500061
330000,291100,6,7042,1587,1,12.7068481445313,12.5814218521118,8.85964775085449,7.36960077285767
257000,272200,4,4578,1904,1,12.4568309783936,12.51429271698,8.42901706695557,7.55171203613281
223000,239300,4,5308,1959,0,12.3149271011353,12.3854732513428,8.57697010040283,7.58018922805786
714000,655400,5,28231,3331,1,13.4786386489868,13.3930006027222,10.2481756210327,8.11102771759033
285000,314000,4,6000,2336,1,12.5602445602417,12.6571483612061,8.69951438903809,7.75619554519653
3e+05,349100,4,6126,2438,1,12.6115379333496,12.7631139755249,8.72029685974121,7.79893350601196
315000,300200,3,6210,1731,1,12.660327911377,12.6122045516968,8.73391628265381,7.45645475387573
603000,540800,6,16362,4091,1,13.3096723556519,13.2008047103882,9.70271682739258,8.31654453277588
269000,315200,4,5266,1977,1,12.5024662017822,12.6609630584717,8.56902599334717,7.58933591842651
209000,289400,4,6400,1854,1,12.2500896453857,12.5755653381348,8.76405334472656,7.52510070800781
495000,543600,4,11966,2638,1,13.1123132705688,13.2059688568115,9.38982486724854,7.87777614593506
370000,351500,3,9903,2076,1,12.8212585449219,12.769965171814,9.20059299468994,7.6381983757019
318000,328000,4,6802,2131,1,12.6698064804077,12.7007684707642,8.82497215270996,7.66434669494629
250000,282300,4,5625,1780,1,12.4292163848877,12.5507259368896,8.63497638702393,7.48436880111694
285000,305600,3,7123,1774,1,12.5602445602417,12.6300325393677,8.87108421325684,7.48099231719971
325000,437000,4,10859,2709,0,12.6915807723999,12.9876880645752,9.29274940490723,7.90433502197266
306000,296200,3,6947,1542,1,12.6313400268555,12.5987901687622,8.84606552124023,7.34083557128906
338000,344100,5,6417,2594,0,12.7308015823364,12.7486877441406,8.76670646667481,7.8609561920166
403000,395000,5,8190,2548,1,12.9066915512085,12.8866415023804,9.01066875457764,7.84306383132935
323000,381400,4,6337,2660,1,12.6854076385498,12.8516035079956,8.75416088104248,7.88608121871948
391000,395700,5,10522,2232,1,12.8764629364014,12.8884115219116,9.26122379302979,7.71065330505371
254000,341000,3,11771,1866,0,12.44508934021,12.7396373748779,9.37339401245117,7.5315523147583
245000,312100,3,7189,2129,0,12.4090137481689,12.6510791778564,8.8803071975708,7.66340780258179
259000,298800,4,7565,1974,0,12.4645833969116,12.6075296401978,8.93128776550293,7.58781719207764
354000,324600,3,6596,1984,1,12.7770519256592,12.6903486251831,8.79421901702881,7.59287023544312
293000,318600,2,16481,1727,0,12.5879278182983,12.6716918945313,9.70996379852295,7.45414113998413
209000,230700,4,5600,1674,1,12.2500896453857,12.3488731384277,8.63052177429199,7.42297124862671
315000,279200,4,6660,1638,1,12.660327911377,12.53968334198,8.80387496948242,7.40123128890991
227000,232900,4,3597,1760,1,12.3327054977417,12.3583641052246,8.18785572052002,7.473069190979
275000,280300,3,6667,1713,1,12.5245265960693,12.5436153411865,8.80492496490479,7.4460015296936
195000,231800,3,4600,1448,1,12.1807546615601,12.353630065918,8.43381118774414,7.27793836593628
375000,354000,5,6637,2293,1,12.8346815109253,12.7770519256592,8.8004150390625,7.73761606216431
380000,515100,4,15105,2589,1,12.8479261398315,13.1521167755127,9.62278079986572,7.85902690887451
478000,478100,7,8400,3529,1,13.0773658752441,13.0775747299194,9.03598690032959,8.16876983642578
725000,708600,5,31000,3662,0,13.4939270019531,13.4710464477539,10.341742515564,8.20576477050781
251000,224300,3,5763,1630,1,12.4332084655762,12.3207397460938,8.65921306610107,7.39633512496948
225000,291000,3,7566,1567,0,12.3238554000854,12.5810785293579,8.93141937255859,7.35691833496094
346000,348700,3,2579,2926,0,12.7541942596436,12.7619676589966,7.85515689849854,7.98139142990112
210000,198700,3,5146,1408,1,12.2548627853394,12.1995515823364,8.54597473144531,7.24992561340332
301000,324400,5,7295,1907,1,12.6148653030396,12.6897325515747,8.894944190979,7.5532865524292
373000,319100,4,6095,2514,1,12.8293333053589,12.6732597351074,8.71522426605225,7.82963037490845
270000,260200,4,6869,1846,1,12.5061769485474,12.4692058563232,8.83477401733398,7.52077627182007
289000,320900,4,5722,2302,1,12.5741815567017,12.6788845062256,8.65207386016846,7.7415337562561
265000,287500,3,6519,2312,1,12.4874849319458,12.5689783096313,8.7824764251709,7.74586820602417
279000,304400,5,6160,2086,1,12.5389671325684,12.6260976791382,8.72583198547363,7.64300346374512
335000,421000,2,20961,2403,0,12.7218856811523,12.9503879547119,9.95041847229004,7.78447341918945
441000,502100,5,8783,3981,0,12.9968004226685,13.1265544891357,9.08057308197021,8.28928852081299
261000,328100,3,7174,1992,0,12.4722757339478,12.7010736465454,8.87821865081787,7.59689426422119
111000,202400,4,4315,1535,1,11.6172857284546,12.2180013656616,8.36985301971436,7.33628559112549
176000,242600,4,5720,1903,0,12.078239440918,12.3991689682007,8.65172386169434,7.55118703842163
763000,733600,5,32375,3868,0,13.5450134277344,13.5057191848755,10.3851413726807,8.26049327850342
207000,253200,3,7076,1973,1,12.2404737472534,12.4419345855713,8.86446380615234,7.58731031417847
288000,277100,3,6976,2167,1,12.5707159042358,12.5321340560913,8.8502311706543,7.68109893798828
520000,567700,4,12407,2876,1,13.1615839004517,13.2493486404419,9.42601585388184,7.96415567398071
350000,355300,4,9773,2051,1,12.7656888961792,12.7807178497314,9.18737888336182,7.62608289718628
399000,478200,5,12226,2942,1,12.8967170715332,13.077784538269,9.41131973266602,7.98684501647949
266000,294300,3,5494,2048,1,12.4912519454956,12.5923547744751,8.61141204833984,7.6246190071106
466000,414500,5,8566,2754,1,13.0519409179688,12.9348278045654,9.05555629730225,7.92080974578857
180000,221500,3,6017,1812,1,12.1007118225098,12.308177947998,8.70234394073486,7.50218629837036
266000,286400,4,5484,1664,1,12.4912519454956,12.5651445388794,8.60958957672119,7.41697978973389
245000,258300,2,7650,1383,0,12.4090137481689,12.4618768692017,8.94246101379395,7.23201036453247
248000,256800,5,7499,1844,1,12.4211835861206,12.4560527801514,8.92252540588379,7.51969242095947
225000,268100,2,8880,1421,0,12.3238554000854,12.4991149902344,9.09155654907227,7.25911617279053
330000,359500,3,8178,2186,1,12.7068481445313,12.7924690246582,9.00920295715332,7.68982887268066
247000,239700,3,9425,1440,1,12.4171438217163,12.3871431350708,9.15112113952637,7.27239847183228
206000,236100,3,6000,1767,0,12.2356309890747,12.3720111846924,8.69951438903809,7.47703838348389
419000,545800,5,15264,2776,1,12.9456262588501,13.2100076675415,9.63325214385986,7.92876625061035
382000,393400,5,11515,2201,1,12.8531761169434,12.8825817108154,9.35140609741211,7.69666719436646
268000,266700,3,5642,1376,1,12.4987421035767,12.4938793182373,8.63799381256104,7.22693586349487
251000,319100,4,8682,1725,0,12.4332084655762,12.6732597351074,9.06900691986084,7.4529824256897
258000,287000,4,6525,1850,1,12.4607152938843,12.5672378540039,8.78339576721191,7.52294111251831
234000,297600,4,6560,1752,0,12.363076210022,12.6035051345825,8.78874588012695,7.46851348876953
279000,339800,4,9547,2274,1,12.5389671325684,12.7361125946045,9.16398239135742,7.72929573059082
295000,318300,3,6056,1837,1,12.5947303771973,12.6707496643066,8.70880508422852,7.51588916778565
297000,317300,3,6050,2147,0,12.601487159729,12.6676025390625,8.70781326293945,7.67182683944702
271000,305400,3,6737,1868,1,12.5098743438721,12.6293773651123,8.81536960601807,7.53262376785278
289000,298700,3,6060,1925,1,12.5741815567017,12.6071949005127,8.70946502685547,7.56268119812012
471000,482000,5,15834,2617,1,13.0626134872437,13.0856990814209,9.66991519927979,7.86978387832642
252000,237100,4,5389,1403,0,12.4371843338013,12.3762369155884,8.59211540222168,7.24636793136597
277000,309200,4,8125,1823,1,12.5317726135254,12.6417436599731,9.00270080566406,7.50823879241943
347000,462000,4,12061,2929,0,12.757080078125,13.0433197021484,9.39773273468018,7.9824161529541
246000,276200,4,5944,1928,1,12.4130868911743,12.5288801193237,8.69013786315918,7.56423854827881
316000,314600,4,5539,2343,0,12.6634979248047,12.6590576171875,8.61956882476807,7.7591872215271
497000,522500,6,17548,2861,1,13.1163454055786,13.1663799285889,9.77269554138184,7.95892667770386
284000,322100,3,8261,2537,1,12.5567293167114,12.6826171875,9.01930046081543,7.83873748779297
240000,262900,3,6559,1961,0,12.3883943557739,12.4795293807983,8.78859329223633,7.58120965957642
262000,297600,3,9247,1618,0,12.4760999679565,12.6035051345825,9.13205432891846,7.38894605636597
406000,342100,5,6142,2669,1,12.9141082763672,12.7428579330444,8.7229061126709,7.88945913314819
265000,252100,3,7834,1764,1,12.4874849319458,12.4375810623169,8.96622848510742,7.47533941268921
335000,384300,4,8022,2321,1,12.7218856811523,12.8591785430908,8.9899435043335,7.74975347518921
318000,295200,4,92681,1696,1,12.6698064804077,12.5954084396362,11.4369192123413,7.43602800369263
455000,293400,3,6309,1685,0,13.0280523300171,12.5892925262451,8.74973201751709,7.42952060699463
225000,249800,3,18838,1294,0,12.3238554000854,12.4284162521362,9.84363174438477,7.16549348831177
255000,279800,2,15267,1478,0,12.4490184783936,12.5418300628662,9.63344860076904,7.29844522476196
241000,302200,4,6752,1754,1,12.3925523757935,12.6188440322876,8.81759357452393,7.46965408325195
136000,242100,4,5991,1721,1,11.8204097747803,12.3971061706543,8.69801330566406,7.45066070556641
311000,372800,4,8467,2137,1,12.6475477218628,12.8287973403931,9.04393196105957,7.66715812683106
230000,267400,3,6710,1932,0,12.3458347320557,12.4965009689331,8.811354637146,7.56631088256836
354000,311500,4,7602,1883,1,12.7770519256592,12.6491546630859,8.93616676330566,7.54062175750732
313000,324000,3,1000,2768,0,12.6539583206177,12.6884984970093,6.90775537490845,7.92588043212891
266000,288400,5,5423,1998,1,12.4912519454956,12.5721035003662,8.59840488433838,7.59990215301514
492000,445300,6,8640,2933,1,13.1062335968018,13.0065031051636,9.06415748596191,7.98378086090088
275000,294100,3,6114,1932,0,12.5245265960693,12.5916748046875,8.71833610534668,7.56631088256836
220000,263400,3,6300,1587,1,12.3013830184937,12.4814291000366,8.74830532073975,7.36960077285767
333000,367800,3,9000,2067,1,12.7158975601196,12.8152942657471,9.10497951507568,7.63385343551636
248000,273300,4,7050,1656,1,12.4211835861206,12.5183258056641,8.86078262329102,7.41216039657593
262000,253800,4,5145,1822,1,12.4760999679565,12.4443016052246,8.54578018188477,7.50768995285034
191000,217700,3,5200,1374,0,12.1600284576416,12.2908735275269,8.5564136505127,7.22548151016235
335000,385000,4,15086,2829,0,12.7218856811523,12.8609981536865,9.62152290344238,7.947678565979
368000,408100,4,8001,2547,1,12.8158378601074,12.9192676544189,8.9873218536377,7.84267139434815
219000,232000,2,6362,1185,0,12.2968273162842,12.3544921875,8.75809764862061,7.07749795913696
287000,290200,4,6550,1682,1,12.5672378540039,12.5783252716064,8.7872200012207,7.42773866653442
280000,269300,4,10078,1675,1,12.5425453186035,12.5035810470581,9.21811008453369,7.42356824874878
242000,252000,4,4950,1774,1,12.3966932296753,12.4371843338013,8.50714302062988,7.48099231719971
246000,278500,3,6314,1662,1,12.4130868911743,12.5371732711792,8.75052452087402,7.4157772064209
150000,208000,4,5218,1732,0,11.9183902740479,12.2452936172485,8.55986976623535,7.45703220367432
321000,341500,3,8227,2029,1,12.6791963577271,12.7411031723022,9.01517677307129,7.6152982711792
285000,305500,3,8667,1956,1,12.5602445602417,12.6297054290772,9.0672779083252,7.5786566734314
292000,317800,4,7597,2059,1,12.584508895874,12.6691780090332,8.93550872802734,7.62997579574585
418000,475500,4,8112,3733,0,12.9432363510132,13.0721225738525,9.00109958648682,8.22496700286865
270000,318800,3,7800,2124,1,12.5061769485474,12.6723194122314,8.96187877655029,7.66105651855469
